Sample,Library,Sample.category,Tissue.category,useForWGCNA,SampleID,Region,DevStage
"temporal lobe, fetal, donor1, tech_rep1",CNhs11772.10063.101H9,tissues,fetal brain tissue,yes,S32,FetalBrain,fetal
"temporal lobe, fetal, donor1, tech_rep2",CNhs12996.10063.101H9,tissues,fetal brain tissue,yes,S33,FetalBrain,fetal
"adipose tissue, adult, pool1",CNhs10615.10010.101C1,tissues,adult other,NA,NA,,
"aorta, adult, pool1",CNhs11760.10052.101G7,tissues,adult CV,NA,NA,,
"appendix, adult",CNhs12842.10189.103D9,tissues,adult GI,NA,NA,,
"bladder, adult, pool1",CNhs10616.10011.101C2,tissues,adult RE,NA,NA,,
"blood, adult, pool1",CNhs11761.10053.101G8,tissues,adult other,NA,NA,,
"breast, adult, donor1",CNhs11792.10080.102A8,tissues,adult other,NA,NA,,
"cerebral meninges, adult",CNhs12840.10188.103D8,tissues,adult other,NA,NA,,
"cervix, adult, pool1",CNhs10618.10013.101C4,tissues,adult female genital,NA,NA,,
"Clontech Human Universal Reference Total RNA, pool1",CNhs10608.10000.101A1,tissues,human universal  total RNA,NA,NA,,
"colon, adult, donor1",CNhs11794.10082.102B1,tissues,adult GI,NA,NA,,
"colon, adult, pool1",CNhs10619.10014.101C5,tissues,adult GI,NA,NA,,
"colon, fetal, donor1",CNhs11780.10070.101I7,tissues,fetal GI,NA,NA,,
"diaphragm, fetal, donor1",CNhs11779.10069.101I6,tissues,fetal muscle,NA,NA,,
"ductus deferens, adult",CNhs12846.10196.103E7,tissues,adult male genital,NA,NA,,
"duodenum, fetal, donor1, tech_rep1",CNhs11781.10071.101I8,tissues,fetal GI,NA,NA,,
"duodenum, fetal, donor1, tech_rep2",CNhs12997.10071.101I8,tissues,fetal GI,NA,NA,,
"dura mater, adult, donor1",CNhs10648.10041.101F5,tissues,adult other,NA,NA,,
"epididymis, adult",CNhs12847.10197.103E8,tissues,adult male genital,NA,NA,,
"esophagus, adult, pool1",CNhs10620.10015.101C6,tissues,adult GI,NA,NA,,
"eye, fetal, donor1",CNhs11762.10054.101G9,tissues,fetal other,NA,NA,,
"gall bladder, adult",CNhs12848.10198.103E9,tissues,adult GI,NA,NA,,
"heart - mitral valve, adult",CNhs12855.10205.103F7,tissues,adult CV,NA,NA,,
"heart - pulmonic valve, adult",CNhs12856.10206.103F8,tissues,adult CV,NA,NA,,
"heart - tricuspid valve, adult",CNhs12857.10207.103F9,tissues,adult CV,NA,NA,,
"heart, adult, diseased post-infarction, donor1",CNhs11757.10050.101G5,tissues,adult CV,NA,NA,,
"heart, adult, diseased, donor1",CNhs11758.10051.101G6,tissues,adult CV,NA,NA,,
"heart, adult, pool1",CNhs10621.10016.101C7,tissues,adult CV,NA,NA,,
"heart, fetal, pool1",CNhs10653.10046.101G1,tissues,fetal CV,NA,NA,,
"kidney, adult, pool1",CNhs10622.10017.101C8,tissues,adult RE,NA,NA,,
"kidney, fetal, pool1",CNhs10652.10045.101F9,tissues,fetal RE,NA,NA,,
"left atrium, adult, donor1",CNhs11790.10079.102A7,tissues,adult CV,NA,NA,,
"left ventricle, adult, donor1",CNhs11789.10078.102A6,tissues,adult CV,NA,NA,,
"liver, adult, pool1",CNhs10624.10018.101C9,tissues,adult GI,NA,NA,,
"liver, fetal, pool1",CNhs11798.10086.102B5,tissues,fetal GI,NA,NA,,
"lung, adult, pool1",CNhs10625.10019.101D1,tissues,adult respiratory,NA,NA,,
"lung, fetal, donor1",CNhs11680.10068.101I5,tissues,fetal respiratory,NA,NA,,
"lung, right lower lobe, adult, donor1",CNhs11786.10075.102A3,tissues,adult respiratory,NA,NA,,
"lymph node, adult, donor1",CNhs11788.10077.102A5,tissues,adult lymphoid,NA,NA,,
"ovary, adult, pool1",CNhs10626.10020.101D2,tissues,adult female genital,NA,NA,,
"pancreas, adult, donor1",CNhs11756.10049.101G4,tissues,adult GI,NA,NA,,
"parotid gland, adult",CNhs12849.10199.103F1,tissues,adult GI,NA,NA,,
"penis, adult",CNhs12850.10200.103F2,tissues,adult male genital,NA,NA,,
"pineal gland - adult, donor10196",CNhs13804.10179.103C8,tissues,adult endocrine,NA,NA,,
"pineal gland, adult, donor10252",CNhs12228.10160.103A7,tissues,adult endocrine,NA,NA,,
"pituitary gland - adult, donor10196",CNhs13805.10180.103C9,tissues,adult endocrine,NA,NA,,
"pituitary gland, adult, donor10252",CNhs12229.10162.103A9,tissues,adult endocrine,NA,NA,,
"placenta, adult, pool1",CNhs10627.10021.101D3,tissues,adult other,NA,NA,,
"prostate, adult, pool1",CNhs10628.10022.101D4,tissues,adult male genital,NA,NA,,
"rectum, fetal, donor1",CNhs11777.10067.101I4,tissues,fetal GI,NA,NA,,
"retina, adult, pool1",CNhs10636.10030.101E3,tissues,adult other,NA,NA,,
"SABiosciences XpressRef Human Universal Total RNA, pool1",CNhs10610.10002.101A5,tissues,human universal  total RNA,NA,NA,,
"salivary gland, adult, pool1",CNhs11677.10093.102C3,tissues,adult GI,NA,NA,,
"seminal vesicle, adult",CNhs12851.10201.103F3,tissues,adult male genital,NA,NA,,
"skeletal muscle - soleus muscle, donor1",CNhs13454.10282.104F3,tissues,adult skeletal muscle,NA,NA,,
"skeletal muscle, adult, pool1",CNhs10629.10023.101D5,tissues,adult skeletal muscle,NA,NA,,
"skeletal muscle, fetal, donor1",CNhs11776.10066.101I3,tissues,fetal skeletal muscle,NA,NA,,
"skin, fetal, donor1",CNhs11774.10065.101I2,tissues,fetal other,NA,NA,,
"small intestine, adult, pool1",CNhs10630.10024.101D6,tissues,adult GI,NA,NA,,
"small intestine, fetal, donor1",CNhs11773.10064.101I1,tissues,fetal GI,NA,NA,,
"smooth muscle, adult, pool1",CNhs11755.10048.101G3,tissues,adult smooth muscle,NA,NA,,
"spinal cord, fetal, donor1",CNhs11764.10056.101H2,tissues,fetal spinal cord,NA,NA,,
"spleen, adult, pool1",CNhs10631.10025.101D7,tissues,adult lymphoid,NA,NA,,
"spleen, fetal, pool1",CNhs10651.10044.101F8,tissues,fetal lymphoid,NA,NA,,
"stomach, fetal, donor1",CNhs11771.10062.101H8,tissues,fetal GI,NA,NA,,
"submaxillary gland, adult",CNhs12852.10202.103F4,tissues,adult GI,NA,NA,,
"testis, adult, pool1",CNhs10632.10026.101D8,tissues,adult male genital,NA,NA,,
"testis, adult, pool2",CNhs12998.10096.102C6,tissues,adult male genital,NA,NA,,
"throat, adult",CNhs12858.10209.103G2,tissues,adult other,NA,NA,,
"throat, fetal, donor1",CNhs11770.10061.101H7,tissues,fetal other,NA,NA,,
"thymus, adult, pool1",CNhs10633.10027.101D9,tissues,adult lymphoid,NA,NA,,
"thymus, fetal, pool1",CNhs10650.10043.101F7,tissues,fetal lymphoid,NA,NA,,
"thyroid, adult, pool1",CNhs10634.10028.101E1,tissues,adult endocrine,NA,NA,,
"thyroid, fetal, donor1",CNhs11769.10060.101H6,tissues,fetal endocrine,NA,NA,,
"tongue, adult",CNhs12853.10203.103F5,tissues,adult other,NA,NA,,
"tongue, fetal, donor1",CNhs11768.10059.101H5,tissues,fetal other,NA,NA,,
"tonsil, adult, pool1",CNhs10654.10047.101G2,tissues,adult lymphoid,NA,NA,,
"trachea, adult, pool1",CNhs10635.10029.101E2,tissues,adult respiratory,NA,NA,,
"trachea, fetal, donor1",CNhs11766.10058.101H4,tissues,fetal respiratory,NA,NA,,
"umbilical cord, fetal, donor1",CNhs11765.10057.101H3,tissues,adult other,NA,NA,,
"Universal RNA - Human Normal Tissues Biochain, pool1",CNhs10612.10007.101B4,tissues,human universal  total RNA,NA,NA,,
"uterus, adult, pool1",CNhs11676.10100.102D1,tissues,adult female genital,NA,NA,,
"uterus, fetal, donor1",CNhs11763.10055.101H1,tissues,fetal female genital,NA,NA,,
"vagina, adult",CNhs12854.10204.103F6,tissues,adult female genital,NA,NA,,
"vein, adult",CNhs12844.10191.103E2,tissues,adult CV,NA,NA,,
"brain, adult, donor1",CNhs11796.10084.102B3,tissues,adult brain tissue,NA,NA,,
"brain, adult, pool1",CNhs10617.10012.101C3,tissues,adult brain tissue,NA,NA,,
"corpus callosum, adult, pool1",CNhs10649.10042.101F6,tissues,adult brain tissue,NA,NA,,
"diencephalon, adult",CNhs12610.10193.103E4,tissues,adult brain tissue,NA,NA,,
"frontal lobe, adult, pool1",CNhs10647.10040.101F4,tissues,adult brain tissue,NA,NA,,
"insula, adult, pool1",CNhs10646.10039.101F3,tissues,adult brain tissue,NA,NA,,
"medial frontal gyrus - adult, donor10196",CNhs13796.10170.103B8,tissues,adult brain tissue,NA,NA,,
"nucleus accumbens, adult, pool1",CNhs10644.10037.101F1,tissues,adult brain tissue,NA,NA,,
"occipital lobe, adult, donor1",CNhs11787.10076.102A4,tissues,adult brain tissue,NA,NA,,
"occipital pole, adult, pool1",CNhs10643.10036.101E9,tissues,adult brain tissue,NA,NA,,
"olfactory region, adult",CNhs12611.10195.103E6,tissues,adult brain tissue,NA,NA,,
"optic nerve, donor1",CNhs13449.10277.104E7,tissues,adult brain tissue,NA,NA,,
"pons, adult, pool1",CNhs10640.10033.101E6,tissues,adult brain tissue,NA,NA,,
"putamen, adult, donor10196",CNhs12324.10176.103C5,tissues,adult brain tissue,NA,NA,,
"substantia nigra, adult, donor10252",CNhs12318.10158.103A5,tissues,adult brain tissue,NA,NA,,
"temporal lobe, adult, pool1",CNhs10637.10031.101E4,tissues,adult brain tissue,NA,NA,,
"spinal cord - adult, donor10196",CNhs13807.10181.103D1,tissues,adult spinal cord,NA,NA,,
"spinal cord, adult, donor10252",CNhs12227.10159.103A6,tissues,adult spinal cord,NA,NA,,
"Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep1 (LK1)",CNhs13339.12642.134G5,time courses,,NA,NA,,
"Aortic smooth muscle cell response to FGF2, 00hr00min, biol_rep2 (LK2)",CNhs13358.12740.135I4,time courses,,NA,NA,,
"Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep1 (LK31)",CNhs13349.12652.134H6,time courses,,NA,NA,,
"Aortic smooth muscle cell response to IL1b, 00hr00min, biol_rep2 (LK32)",CNhs13369.12750.136A5,time courses,,NA,NA,,
"H9  Embryonic Stem cells, biol_rep2 (H9ES-2)",CNhs12824.12724.135G6,time courses,,NA,NA,,
"H9  Embryonic Stem cells, biol_rep3 (H9ES-3)",CNhs12837.12822.136I5,time courses,,NA,NA,,
"H9 Embryoid body cells, melanocytic induction, day00, biol_rep1 (H9EB-1 d0)",CNhs12822.12627.134E8,time courses,,NA,NA,,
"H9 Embryoid body cells, melanocytic induction, day00, biol_rep2 (H9EB-2 d0)",CNhs12825.12725.135G7,time courses,,NA,NA,,
"H9 Embryoid body cells, melanocytic induction, day00, biol_rep3 (H9EB-3 d0)",CNhs12908.12823.136I6,time courses,,NA,NA,,
"HES3-GFP Embryonic Stem cells, cardiomyocytic induction, day00, biol_rep3 (UH-3)",CNhs13738.13366.143F9,time courses,,NA,NA,,
"iPS differentiation to neuron, control donor C11-CRL2429, day00, rep2",CNhs13822.13425.144D5,time courses,,NA,NA,,
"iPS differentiation to neuron, control donor C32-CRL1502, day00, rep1",CNhs13826.13433.144E4,time courses,,NA,NA,,
"iPS differentiation to neuron, control donor C32-CRL1502, day00, rep2",CNhs13839.13437.144E8,time courses,,NA,NA,,
"Lymphatic Endothelial cells response to VEGFC, 00hr00min, biol_rep1 (MM XIX - 1)",CNhs11936.12260.130A1,time courses,,NA,NA,,
"Lymphatic Endothelial cells response to VEGFC, 00hr00min, biol_rep2 (MM XIV - 1)",CNhs13157.12382.131E6,time courses,,NA,NA,,
"Lymphatic Endothelial cells response to VEGFC, 00hr00min, biol_rep3 (MM XXII - 1 )",CNhs13276.12504.133A2,time courses,,NA,NA,,
"MCF7 breast cancer cell line response to EGF1, 00hr00min, biol_rep2",CNhs12475.13097.140D1,time courses,,NA,NA,,
"MCF7 breast cancer cell line response to EGF1, 00hr00min, biol_rep3",CNhs12703.13163.141B4,time courses,,NA,NA,,
"Melanocyte, donor1 (MC+1)",CNhs12816.12641.134G4,time courses,,NA,NA,,
"Melanocyte, donor2 (MC+2)",CNhs13156.12739.135I3,time courses,,NA,NA,,
"Melanocyte, donor3 (MC+3)",CNhs13406.12837.137B2,time courses,,NA,NA,,
"mesenchymal stem cells (adipose derived), adipogenic induction, 00hr00min, biol_rep2",CNhs13420.13230.141I8,time courses,,NA,NA,,
"mesenchymal stem cells (adipose derived), adipogenic induction, 00hr00min, biol_rep3",CNhs13421.13231.141I9,time courses,,NA,NA,,
"Myoblast differentiation to myotubes, day00, control donor1",CNhs13847.13469.144I4,time courses,,NA,NA,,
"Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr00min, biol_rep2 (A2 T0)",CNhs12859.12760.136B6,time courses,,NA,NA,,
"Saos-2 osteosarcoma treated with ascorbic acid and BGP to induce calcification, 00hr00min, biol_rep3 (A3 T0)",CNhs12952.12858.137D5,time courses,,NA,NA,,
"Monocyte-derived macrophages response to udorn influenza infection, 00hr00min, donor2 (150_120:Ud_0h)",CNhs13646.13317.143A5,time courses,,NA,NA,,
"Monocyte-derived macrophages response to udorn influenza infection, 00hr00min, donor3 (536_119:Ud_0h)",CNhs13650.13323.143B2,time courses,,NA,NA,,
"Monocyte-derived macrophages response to udorn influenza infection, 00hr00min, donor4 (227_121:Ud_0h)",CNhs13639.13311.142I8,time courses,,NA,NA,,
"Macrophage - monocyte derived, donor1",CNhs10861.11232.116C8,primary cells,,NA,NA,,
"Macrophage - monocyte derived, donor2",CNhs11899.11313.117C8,primary cells,,NA,NA,,
"Macrophage - monocyte derived, donor3",CNhs12003.11389.118C3,primary cells,,NA,NA,,
"Neurons, donor1",CNhs12338.11494.119E9,primary cells,brain_pcells,NA,NA,,
"Neurons, donor2",CNhs12726.11574.120E8,primary cells,brain_pcells,NA,NA,,
"Neurons, donor3",CNhs13815.11655.122E8,primary cells,brain_pcells,NA,NA,,
"Adipocyte - breast, donor1",CNhs11051.11376.118A8,primary cells,,NA,NA,,
"Adipocyte - breast, donor2",CNhs11969.11327.117E4,primary cells,,NA,NA,,
"Adipocyte - omental, donor1",CNhs11054.11473.119C6,primary cells,,NA,NA,,
"Adipocyte - omental, donor2",CNhs12067.11474.119C7,primary cells,,NA,NA,,
"Adipocyte - omental, donor3",CNhs12068.11475.119C8,primary cells,,NA,NA,,
"Adipocyte - perirenal, donor1",CNhs12069.11476.119C9,primary cells,,NA,NA,,
"Adipocyte - subcutaneous, donor1",CNhs12494.11259.116F8,primary cells,,NA,NA,,
"Adipocyte - subcutaneous, donor2",CNhs11371.11336.117F4,primary cells,,NA,NA,,
"Adipocyte - subcutaneous, donor3",CNhs12017.11408.118E4,primary cells,,NA,NA,,
"Alveolar Epithelial Cells, donor1",CNhs11325.11510.119G7,primary cells,,NA,NA,,
"Alveolar Epithelial Cells, donor2",CNhs12084.11590.120G6,primary cells,,NA,NA,,
"Amniotic Epithelial Cells, donor1",CNhs11341.11533.120A3,primary cells,,NA,NA,,
"Amniotic Epithelial Cells, donor3",CNhs12125.11694.123A2,primary cells,,NA,NA,,
"amniotic membrane cells, donor1",CNhs12502.12235.129G3,primary cells,,NA,NA,,
"amniotic membrane cells, donor2",CNhs12503.12236.129G4,primary cells,,NA,NA,,
"amniotic membrane cells, donor3",CNhs12379.12237.129G5,primary cells,,NA,NA,,
"Anulus Pulposus Cell, donor1",CNhs10876.11248.116E6,primary cells,,NA,NA,,
"Anulus Pulposus Cell, donor2",CNhs12064.11463.119B5,primary cells,,NA,NA,,
"Basophils, donor1",CNhs12546.12241.129G9,primary cells,,NA,NA,,
"Basophils, donor2",CNhs12563.12242.129H1,primary cells,,NA,NA,,
"Basophils, donor3",CNhs12575.12243.129H2,primary cells,,NA,NA,,
"Bronchial Epithelial Cell, donor4",CNhs12054.11453.119A4,primary cells,,NA,NA,,
"Bronchial Epithelial Cell, donor5",CNhs12058.11457.119A8,primary cells,,NA,NA,,
"Bronchial Epithelial Cell, donor6",CNhs12062.11461.119B3,primary cells,,NA,NA,,
"Cardiac Myocyte, donor1",CNhs12341.11525.119I4,primary cells,,NA,NA,,
"Cardiac Myocyte, donor2",CNhs12350.11605.120I3,primary cells,,NA,NA,,
"Cardiac Myocyte, donor3",CNhs12571.11686.122I3,primary cells,,NA,NA,,
"CD133+ stem cells - adult bone marrow derived, pool1",CNhs12552.12224.129F1,primary cells,,NA,NA,,
"CD14-CD16+ Monocytes, donor1",CNhs13229.11790.124B8,primary cells,,NA,NA,,
"CD14-CD16+ Monocytes, donor2",CNhs13207.11800.124C9,primary cells,,NA,NA,,
"CD14-CD16+ Monocytes, donor3",CNhs13548.11911.125G3,primary cells,,NA,NA,,
"CD14+CD16+ Monocytes, donor3",CNhs13549.11912.125G4,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090309, donation1",CNhs12177.12189.129B2,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090309, donation2",CNhs12179.12194.129B7,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090309, donation3",CNhs12181.12199.129C3,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090325, donation1",CNhs12531.12151.128F9,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090325, donation2",CNhs12175.12174.128I5,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090612, donation1",CNhs12183.12204.129C8,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090612, donation2",CNhs12185.12209.129D4,primary cells,,NA,NA,,
"CD19+ B Cells (pluriselect), donor090612, donation3",CNhs12188.12214.129D9,primary cells,,NA,NA,,
"CD19+ B Cells, donor1",CNhs12343.11544.120B5,primary cells,,NA,NA,,
"CD19+ B Cells, donor2",CNhs12352.11624.122B4,primary cells,,NA,NA,,
"CD19+ B Cells, donor3",CNhs12354.11705.123B4,primary cells,,NA,NA,,
"CD34+ Progenitors, donor1",CNhs13227.11545.120B6,primary cells,,NA,NA,,
"CD34+ Progenitors, donor2",CNhs12205.11625.122B5,primary cells,,NA,NA,,
"CD34+ stem cells - adult bone marrow derived, donor1, tech_rep1",CNhs12588.12225.129F2,primary cells,,NA,NA,,
"CD4+ T Cells, donor1",CNhs10853.11225.116C1,primary cells,,NA,NA,,
"CD4+ T Cells, donor2",CNhs11955.11306.117C1,primary cells,,NA,NA,,
"CD4+ T Cells, donor3",CNhs11998.11382.118B5,primary cells,,NA,NA,,
"CD4+CD25-CD45RA- memory conventional T cells expanded, donor1",CNhs13215.11792.124C1,primary cells,,NA,NA,,
"CD4+CD25-CD45RA- memory conventional T cells, donor1",CNhs13239.11786.124B4,primary cells,,NA,NA,,
"CD4+CD25-CD45RA- memory conventional T cells, donor2",CNhs13237.11798.124C7,primary cells,,NA,NA,,
"CD4+CD25-CD45RA- memory conventional T cells, donor3",CNhs13539.11909.125G1,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells expanded, donor1",CNhs13202.11791.124B9,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells expanded, donor2",CNhs13813.11913.125G5,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells expanded, donor3",CNhs13814.11917.125G9,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells, donor1",CNhs13223.11784.124B2,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells, donor2",CNhs13205.11795.124C4,primary cells,,NA,NA,,
"CD4+CD25-CD45RA+ naive conventional T cells, donor3",CNhs13512.11906.125F7,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells expanded, donor1",CNhs13204.11794.124C3,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells expanded, donor2",CNhs13811.11916.125G8,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells expanded, donor3",CNhs13812.11920.125H3,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells, donor1",CNhs13195.11782.124A9,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells, donor2",CNhs13206.11797.124C6,primary cells,,NA,NA,,
"CD4+CD25+CD45RA- memory regulatory T cells, donor3",CNhs13538.11908.125F9,primary cells,,NA,NA,,
"CD4+CD25+CD45RA+ naive regulatory T cells expanded, donor1",CNhs13203.11793.124C2,primary cells,,NA,NA,,
"CD4+CD25+CD45RA+ naive regulatory T cells, donor1",CNhs13238.11780.124A7,primary cells,,NA,NA,,
"CD4+CD25+CD45RA+ naive regulatory T cells, donor2",CNhs13235.11796.124C5,primary cells,,NA,NA,,
"CD4+CD25+CD45RA+ naive regulatory T cells, donor3",CNhs13513.11907.125F8,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090309, donation1",CNhs12176.12186.129A8,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090309, donation2",CNhs12178.12191.129B4,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090309, donation3",CNhs12180.12196.129B9,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090325, donation1",CNhs12201.12148.128F6,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090325, donation2",CNhs12199.12171.128I2,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090612, donation1",CNhs12182.12201.129C5,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090612, donation2",CNhs12184.12206.129D1,primary cells,,NA,NA,,
"CD8+ T Cells (pluriselect), donor090612, donation3",CNhs12187.12211.129D6,primary cells,,NA,NA,,
"CD8+ T Cells, donor1",CNhs10854.11226.116C2,primary cells,,NA,NA,,
"CD8+ T Cells, donor2",CNhs11956.11307.117C2,primary cells,,NA,NA,,
"CD8+ T Cells, donor3",CNhs11999.11383.118B6,primary cells,,NA,NA,,
"Chondrocyte - de diff, donor1",CNhs11923.11261.116G1,primary cells,,NA,NA,,
"Chondrocyte - de diff, donor2",CNhs11372.11338.117F6,primary cells,,NA,NA,,
"Chondrocyte - de diff, donor3",CNhs12020.11410.118E6,primary cells,,NA,NA,,
"Chondrocyte - re diff, donor2",CNhs11373.11339.117F7,primary cells,,NA,NA,,
"Chondrocyte - re diff, donor3",CNhs12021.11411.118E7,primary cells,,NA,NA,,
"chorionic membrane cells, donor1",CNhs12504.12238.129G6,primary cells,,NA,NA,,
"chorionic membrane cells, donor2",CNhs12506.12239.129G7,primary cells,,NA,NA,,
"chorionic membrane cells, donor3",CNhs12380.12240.129G8,primary cells,,NA,NA,,
"Ciliary Epithelial Cells, donor1",CNhs10871.11242.116D9,primary cells,,NA,NA,,
"Ciliary Epithelial Cells, donor2",CNhs11966.11323.117D9,primary cells,,NA,NA,,
"Ciliary Epithelial Cells, donor3",CNhs12009.11399.118D4,primary cells,,NA,NA,,
"Corneal Epithelial Cells, donor1",CNhs11336.11526.119I5,primary cells,,NA,NA,,
"Corneal Epithelial Cells, donor3",CNhs12123.11687.122I4,primary cells,,NA,NA,,
"Dendritic Cells - monocyte immature derived, donor1, tech_rep1",CNhs10855.11227.116C3,primary cells,,NA,NA,,
"Dendritic Cells - monocyte immature derived, donor1, tech_rep2",CNhs11062.11227.116C3,primary cells,,NA,NA,,
"Dendritic Cells - monocyte immature derived, donor3",CNhs12000.11384.118B7,primary cells,,NA,NA,,
"Dendritic Cells - plasmacytoid, donor1",CNhs10857.11228.116C4,primary cells,,NA,NA,,
"Dendritic Cells - plasmacytoid, donor2",CNhs12196.11309.117C4,primary cells,,NA,NA,,
"Dendritic Cells - plasmacytoid, donor3",CNhs12200.11385.118B8,primary cells,,NA,NA,,
"Endothelial Cells - Aortic, donor0",CNhs10837.11207.116A1,primary cells,,NA,NA,,
"Endothelial Cells - Aortic, donor1",CNhs12495.11263.116G3,primary cells,,NA,NA,,
"Endothelial Cells - Aortic, donor2",CNhs11375.11340.117F8,primary cells,,NA,NA,,
"Endothelial Cells - Aortic, donor3",CNhs12022.11412.118E8,primary cells,,NA,NA,,
"Endothelial Cells - Artery, donor1",CNhs12496.11264.116G4,primary cells,,NA,NA,,
